X1,X2,X3,X4
-0.977838465691636,-2.4949171683237648,-1.0148329102355564,-3.5192260383795495
-0.5792215227248583,-1.0720558997885639,-1.087948633854816,-4.632150414453558
-1.3359467477366331,-2.425600683212357,0.1783334308339669,-2.542513394937129
-0.30972273574750087,-1.1062337610989685,-0.8458582351854687,-4.646113714494396
-3.9045108173958067,-3.332875541151164,0.47204979233337396,-2.3608175519746206
-0.6924990026496864,-5.277450938182441,-4.4679157774422755,-6.654289153763125
-3.0850964403532037,-1.3280108406692812,-0.699660275317184,-5.655710629513033
-2.2330359356167877,-1.9726639785709659,-2.5261156801883584,-4.399927170748051
-2.5755619549791033,-2.604159463649328,-1.162786648881779,-4.700480621447191
-3.4028968172071097,-3.4759207872062063,-2.6888871651654163,-6.873076984656282
-0.7181279364583818,-5.956387970833406,-5.222248177848084,-8.323893638098784
-4.570389346519721,-4.3039845849588065,-1.6562020668496262,-7.988357861346145
-1.4449504434431673,-4.550083762885235,-3.717359462926684,-9.08326965258763
-4.057145084082991,-3.124350602917457,-1.0920761292512022,-6.041031653602059
-2.7515967246870994,-5.582947304403529,-1.5619679446414083,-5.196985927237143
-1.3848786849660821,-3.3733219000717094,-1.6185309390915803,-4.857793312769909
-3.1228775985994845,-2.5525687099131784,-1.0263726687413763,-3.8857791535835258
-0.07751645676188113,-2.6465412867854177,-2.530693355661026,-5.381927687055372
-3.7445170205911382,-1.6999372241073916,1.042170216760188,-3.9101787046176155
-2.1104992023951934,-3.021715734601026,-3.585724068630349,-6.3145606010522375
-2.7885566696591098,-3.175614189928007,-1.8286831496567537,-6.664546640674084
-2.3741916092261177,-3.7410808356652314,-3.3201034558655893,-7.785272317458885
-1.2564632047567845,-2.1679646565467534,-0.48044723868559025,-6.829800430906921
-4.1437423871419945,-3.724817283335444,-0.6126716268038139,-4.173284684422923
-1.5929914219481147,-1.7051498347658067,-4.022517205717541,-6.416332224667338
-3.237921198261647,-2.5299238135207545,-1.3888481478767998,-2.965619232432033
0.5338825219468042,-3.304652713388073,-2.080686195403038,-6.557471163601612
-0.3703475902275455,-0.6159876919431833,0.17638710483516795,-3.907783313516173
-2.6581732831564153,-0.13054104405197653,-0.8307486938946372,-4.522912223225571
-1.269052867637006,-2.6819932298789846,-2.7808123125094637,-5.690024665271987
-4.411489242546034,-4.425078416054628,-0.6762803948684901,-5.2446995234974585
